state,age_group,population
Baden-Württemberg,A00-A04,108601
Bayern,A00-A04,127510
Berlin,A00-A04,39362
Brandenburg,A00-A04,20116
Bremen,A00-A04,6959
Hamburg,A00-A04,20610
Hessen,A00-A04,60791
Mecklenburg-Vorpommern,A00-A04,13020
Niedersachsen,A00-A04,73614
Nordrhein-Westfalen,A00-A04,172060
Rheinland-Pfalz,A00-A04,37522
Saarland,A00-A04,8133
Sachsen,A00-A04,35751
Sachsen-Anhalt,A00-A04,17259
Schleswig-Holstein,A00-A04,25260
Thüringen,A00-A04,17410
Baden-Württemberg,A00-A04,109322
Bayern,A00-A04,128495
Berlin,A00-A04,39548
Brandenburg,A00-A04,21600
Bremen,A00-A04,6838
Hamburg,A00-A04,20472
Hessen,A00-A04,61397
Mecklenburg-Vorpommern,A00-A04,13338
Niedersachsen,A00-A04,74824
Nordrhein-Westfalen,A00-A04,173986
Rheinland-Pfalz,A00-A04,38571
Saarland,A00-A04,8324
Sachsen,A00-A04,37307
Sachsen-Anhalt,A00-A04,18269
Schleswig-Holstein,A00-A04,25807
Thüringen,A00-A04,18276
Baden-Württemberg,A00-A04,109354
Bayern,A00-A04,127859
Berlin,A00-A04,39696
Brandenburg,A00-A04,22515
Bremen,A00-A04,6791
Hamburg,A00-A04,20445
Hessen,A00-A04,61948
Mecklenburg-Vorpommern,A00-A04,13770
Niedersachsen,A00-A04,75784
Nordrhein-Westfalen,A00-A04,175494
Rheinland-Pfalz,A00-A04,38779
Saarland,A00-A04,8343
Sachsen,A00-A04,38268
Sachsen-Anhalt,A00-A04,18597
Schleswig-Holstein,A00-A04,26219
Thüringen,A00-A04,18789
Baden-Württemberg,A00-A04,105856
Bayern,A00-A04,123344
Berlin,A00-A04,37560
Brandenburg,A00-A04,21929
Bremen,A00-A04,6614
Hamburg,A00-A04,19032
Hessen,A00-A04,59882
Mecklenburg-Vorpommern,A00-A04,14127
Niedersachsen,A00-A04,73037
Nordrhein-Westfalen,A00-A04,169193
Rheinland-Pfalz,A00-A04,37502
Saarland,A00-A04,8016
Sachsen,A00-A04,37905
Sachsen-Anhalt,A00-A04,18423
Schleswig-Holstein,A00-A04,25546
Thüringen,A00-A04,18797
Baden-Württemberg,A00-A04,103423
Bayern,A00-A04,120799
Berlin,A00-A04,36922
Brandenburg,A00-A04,22632
