GENESIS-Tabelle: 12411-0012
Bevölkerung: Bundesländer, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre;Altersjahre
;;unter 1 Jahr;1-Jährige;2-Jährige;3-Jährige;4-Jährige;5-Jährige;6-Jährige;7-Jährige;8-Jährige;9-Jährige;10-Jährige;11-Jährige;12-Jährige;13-Jährige;14-Jährige;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25-Jährige;26-Jährige;27-Jährige;28-Jährige;29-Jährige;30-Jährige;31-Jährige;32-Jährige;33-Jährige;34-Jährige;35-Jährige;36-Jährige;37-Jährige;38-Jährige;39-Jährige;40-Jährige;41-Jährige;42-Jährige;43-Jährige;44-Jährige;45-Jährige;46-Jährige;47-Jährige;48-Jährige;49-Jährige;50-Jährige;51-Jährige;52-Jährige;53-Jährige;54-Jährige;55-Jährige;56-Jährige;57-Jährige;58-Jährige;59-Jährige;60-Jährige;61-Jährige;62-Jährige;63-Jährige;64-Jährige;65-Jährige;66-Jährige;67-Jährige;68-Jährige;69-Jährige;70-Jährige;71-Jährige;72-Jährige;73-Jährige;74-Jährige;75-Jährige;76-Jährige;77-Jährige;78-Jährige;79-Jährige;80-Jährige;81-Jährige;82-Jährige;83-Jährige;84-Jährige;85-Jährige;86-Jährige;87-Jährige;88-Jährige;89-Jährige;90 Jahre und mehr;Insgesamt
31.12.2018;Baden-Württemberg;108601;109322;109354;105856;103423;100253;98794;97261;100040;99098;101705;102098;100922;102994;105044;105404;107700;110373;118441;124459;130032;136509;136382;135824;138191;142652;143919;147778;154891;151363;154011;148348;147104;142162;141312;140280;143417;142471;143250;134796;131700;131053;131399;129090;131981;131215;141688;152167;158051;169125;176625;180097;183628;182531;184809;182152;175798;172161;166593;159400;150890;145862;141603;133554;128316;122739;121825;117633;117550;114777;105073;97054;84070;71449;92366;92311;89849;106561;109371;105552;95364;85155;78639;70864;60026;46624;42080;38263;35287;29597;102132;11069533
31.12.2018;Bayern;127510;128495;127859;123344;120799;117677;116369;112332;114013;112506;115677;115546;113410;115364;118206;119434;121664;125255;132890;140087;148298;155092;154949;154642;157936;165832;169147;173224;182175;177662;181510;176362;174933;168140;167927;168848;173073;172216;170998;163919;161228;160397;158870;155933;158397;157637;169862;183435;190209;205237;213462;218230;219356;217447;220509;216924;209599;206012;197108;190063;180050;173799;166436;156577;152060;145385;145315;139831;140667;136577;129252;125369;109521;87469;112496;111226;106508;127480;132859;127973;111851;98334;89001;79608;68769;53568;48807;43765;40131;33795;117007;13076721
31.12.2018;Berlin;39362;39548;39696;37560;36922;34902;34535;32599;32945;32423;32275;31268;29865;29073;29195;28031;28264;28510;30466;32155;34738;38011;40163;42031;45109;48371;51441;55822;65611;67210;68546;67507;65339;63536;61231;59901;59415;57849;56415;52114;49817;48337;45986;43920;42822;41447;42928;47153;47689;49738;52091;52335;54372;55949;56679;56330;53412;50593;48210;46175;42287;40421;39535;38918;38164;37149;36371;36690;38033;35335;32191;30017;23193;25935;33755;35416;32797;37314;34902;31939;28853;26071;23680;21639;18928;12511;10782;9950;9383;8013;28717;3644826
31.12.2018;Brandenburg;20116;21600;22515;21929;22632;21807;22563;22284;23060;22352;22939;22347;21303;21014;21249;21188;20917;20761;21363;20182;19184;18345;17342;15684;15026;14818;15904;17995;26435;28286;29800;30769;30358;31079;30708;31188;31868;31684;32917;31687;31801;30644;28084;26750;26193;26804;29715;34866;35454;36893;38951;41181;44107;45998;47828;49290;48870;48120;46124;44963;41145;40002;39628;39598;38841;38027;37007;35798;33395;28228;24187;22913;15329;18019;26634;28242;27036;32836;32203;30535;26972;24090;22299;20373;17373;12286;11140;9917;9123;7505;23402;2511917
31.12.2018;Bremen;6959;6838;6791;6614;6380;5987;5844;5519;5833;5881;5868;6075;5896;5793;5799;5869;5789;6330;6886;7832;8621;8930;9034;9073;9224;9669;9733;10026;10403;10272;10447;9954;9658;9256;8923;9130;9223;8713;8637;8196;8039;7981;8041;7898;7766;7823;8282;8871;9167;9812;10408;10435;10755;10776;10682;10395;10194;9691;9452;9156;8769;8765;8229;7981;7738;7393;7320;7353;7323;7330;6762;6443;6266;4950;6113;6285;6161;6840;7001;6592;6185;5538;5121;4495;3895;2765;2498;2278;2144;1865;7059;682986
31.12.2018;Hamburg;20610;20472;20445;19032;18516;17562;17005;16014;16252;15986;16289;15896;15617;15553;15374;15158;15103;15578;16784;17750;19462;21876;22706;23395;25047;26508;27671;29732;32191;31910;32677;31550;30789;29664;29295;28798;28834;28724;28391;26497;25787;25216;24899;23627;23676;22977;23944;25307;25957;26897;28792;28967;29133;28069;28433;27107;25267;24105;23302;22024;20929;19864;18904;17805;17223;16350;16429;16031;16498;16388;15880;15216;13868;12369;15371;15363;14700;16561;16719;15533;14261;13020;11983;10918;8899;6474;5717;5353;5028;4432;16894;1841179
31.12.2018;Hessen;60791;61397;61948;59882;58435;56521;56219;55988;56968;56135;57395;57362;56187;57303;58117;57812;58808;60397;64041;66262;69883;74857;74012;73250;74846;76878;77562;80352;84719;83848;84688;82244;80961;78084;78988;78416;80893;80730;81341;78125;77243;76365;76288;74503;75721;75998;81122;87543;91445;97853;102432;103987;105829;105907;106346;104166;99743;96932;93451;90234;85246;82856;79534;75858;73816;69939;70291;68694;70039;69176;64503;59993;50821;41948;55337;54163;50822;60278;63013;59992;53197;47804;43962;39403;34056;25205;22658;20761;19832;16703;60156;6265809
31.12.2018;Mecklenburg-Vorpommern;13020;13338;13770;14127;13889;13726;13836;13781;14357;14035;14136;13550;13161;12812;13347;13104;12850;13184;13721;13171;12893;13068;12426;11258;10702;10920;12001;13387;19521;20404;21318;21697;20979;20730;20338;20452;20784;20096;20537;20048;19878;19244;16850;15944;15665;16145;17630;20375;20835;21637;23089;24173;26136;27729;29125;30312;30218;30541;29803;28994;27306;26507;26526;26779;26654;26074;25196;24241;22382;19266;16468;15198;10017;10650;15738;16932;16116;20136;19817;19653;17591;15335;14167;12981;11217;8317;7648;6686;5874;4813;14593;1609675
31.12.2018;Niedersachsen;73614;74824;75784;73037;73133;70116;69824;68801;71287;70564;72704;72912;72262;73784;76462;76986;79761;82964;87772;89138;91220;94628;93141;91200;92039;94218;93937;94999;99236;96921;99247;96918;95178;91840;90736;91891;93566;93844;94595;90429;90260;89660;90005;88061;90898;92782;101276;111334;116570;126373;132662;136620;138967;137422;138093;135904;131055;129446;123401;119525;112284;109824;105092;100893;98558;94807;95257;93324;92997;91362;83954;76075;70052;54854;72774;74113;70871;84700;86249;82280;76039;67148;60502;54900;46761;33815;30884;28582;26746;22187;78738;7982448
